Year,Total,Chinese,Malays,Indians,Others
1971,"35,759","26,821","5,782","2,231",925
1972,"38,156","28,892","6,116","2,212",936
1973,"36,349","28,103","5,416","1,850",980
1974,"31,594","23,983","4,753","1,741","1,117"
1975,"28,501","21,744","4,261","1,410","1,086"
1976,"31,135","24,535","4,080","1,385","1,135"
1977,"26,409","20,031","3,909","1,417","1,052"
1978,"27,376","20,759","4,101","1,477","1,039"
1979,"28,311","21,262","4,249","1,638","1,162"
1980,"28,712","20,392","5,149","1,873","1,298"
1981,"29,387","20,530","5,556","1,925","1,376"
1982,"29,758","20,568","5,729","2,026","1,435"
1983,"27,264","18,008","5,919","2,027","1,310"
1984,"28,394","18,623","6,261","2,117","1,393"
1985,"29,136","19,070","6,443","2,155","1,468"
1986,"25,558","15,532","6,476","2,168","1,382"
1987,"30,443","19,713","6,961","2,364","1,405"
1988,"39,267","27,776","7,419","2,599","1,473"
1989,"33,600","21,564","7,914","2,640","1,482"
1990,"37,251","24,630","8,098","2,918","1,605"
1991,"35,238","22,833","8,012","2,716","1,677"
1992,"35,065","22,530","7,825","2,917","1,793"
1993,"35,764","23,296","7,841","2,879","1,748"
1994,"34,608","22,832","7,314","2,688","1,774"
1995,"33,066","21,475","7,011","2,630","1,950"
1996,"32,987","21,459","6,808","2,602","2,118"
1997,"32,028","20,599","6,574","2,675","2,180"
1998,"28,007","16,819","6,346","2,608","2,234"
1999,"27,820","17,205","5,838","2,451","2,326"
2000,"31,304","20,066","6,082","2,633","2,523"
2001,"26,084","15,311","5,687","2,537","2,549"
2002,"24,940","14,678","5,027","2,704","2,531"
2003,"21,449","12,069","4,404","2,474","2,502"
2004,"21,314","11,923","4,320","2,390","2,681"
2005,"21,277","12,018","4,123","2,516","2,620"
2006,"21,924","12,231","4,151","2,588","2,954"
2007,"22,350","12,510","3,731","2,678","3,431"
2008,"22,604","12,242","3,862","2,703","3,797"
2009,"22,469","11,982","3,564","2,837","4,086"
2010,"20,357","9,954","3,176","3,003","4,224"
2011,"21,627","11,134","3,118","2,972","4,403"
2012,"24,182","12,648","3,376","3,287","4,871"
2013,"20,782","9,456","3,438","3,222","4,666"
